Date,Configuration,Customer Postcode,Store Postcode,Retail Price
01Jan2008 22:02:58,304,EC4A,SW1V,520
01Jan2008 22:19:19,290,SE20,CR7,420
01Jan2008 22:27:06,16,W1T,NW5,420
01Jan2008 22:27:39,19,W1P,SW1P,435
01Jan2008 22:29:29,365,SE16,E2,585
01Jan2008 22:32:55,297,CR0,SW18,450
01Jan2008 22:35:05,15,E1,E2,470
01Jan2008 22:38:04,358,SW8,SW12,555
01Jan2008 22:40:21,342,NW1,NW5,530
01Jan2008 22:47:29,175,SE19,SW12,515
01Jan2008 22:51:22,357,SW1A,SW1P,605
01Jan2008 22:55:22,358,W1W,SW1P,555
01Jan2008 23:00:15,58,SW8,SE1,350
01Jan2008 23:05:44,292,W1S,SW1V,460
01Jan2008 23:06:30,197,W1F,SW1V,500
01Jan2008 23:08:17,355,E7,SE8,585
01Jan2008 23:20:51,69,WC1H,NW5,505
01Jan2008 23:33:36,353,N17,N17,545
01Jan2008 23:43:41,80,E1,E2,495
01Jan2008 23:47:16,294,W1S,SW1P,480
01Jan2008 23:47:57,346,E14,E2,450
01Jan2008 23:49:15,348,W12,SW18,490
01Jan2008 23:54:12,297,N7,NW5,450
01Jan2008 23:56:56,151,E1,E2,510
02Jan2008 00:10:17,149,E1W,SE8,450
02Jan2008 00:22:59,71,SW4,SW18,565
02Jan2008 00:26:41,317,EC1R,NW5,535
02Jan2008 00:29:02,320,SW8,SE1,545
02Jan2008 00:29:17,75,N22,N3,465
02Jan2008 00:33:31,77,SE1,SE1,485
02Jan2008 00:35:19,167,EC1V,SW1P,535
02Jan2008 00:56:55,64,E1,E2,470
02Jan2008 00:59:37,292,W1D,SW1V,460
02Jan2008 01:01:59,210,SE17,SE1,415
02Jan2008 01:02:49,172,W1G,SW1P,385
02Jan2008 01:03:20,52,NW10,NW5,410
02Jan2008 01:04:55,344,EC4N,SE1,590
02Jan2008 01:11:19,356,W1K,SW1V,535
02Jan2008 01:26:08,32,E1,SE1,445
02Jan2008 01:31:42,315,WC2E,SW1P,515
02Jan2008 01:43:23,298,WC2H,SW1P,400
02Jan2008 01:48:15,309,SE11,SW1P,555
02Jan2008 01:49:03,305,EC1N,SW1P,495
02Jan2008 01:50:27,291,N7,NW5,510
02Jan2008 01:51:16,26,SW8,SE1,325
02Jan2008 01:59:40,1,SE26,SE8,370
02Jan2008 02:00:34,368,SW4,SW12,595
02Jan2008 02:01:36,309,SE1,SE1,555
02Jan2008 02:06:33,162,EC1N,NW5,365
02Jan2008 02:08:40,299,EC4A,SE1,490
02Jan2008 02:16:49,7,EC4Y,SW1P,490
02Jan2008 02:16:55,148,N1,E2,380
02Jan2008 02:21:21,293,NW1,NW5,530
02Jan2008 02:36:32,200,EC2A,SW1P,510
02Jan2008 02:37:30,61,SE25,SE8,460
02Jan2008 02:37:33,175,SE25,CR7,515
02Jan2008 02:49:12,149,E14,E2,450
02Jan2008 03:03:00,148,W1D,NW5,380
02Jan2008 03:17:26,360,W1W,NW5,615
02Jan2008 03:34:01,198,SW4,SW12,450
02Jan2008 03:44:32,57,SE24,SW12,400
02Jan2008 03:46:33,207,SE19,SW12,540
02Jan2008 03:47:27,302,SE8,SE1,460
02Jan2008 03:47:37,349,SE25,SE8,560
02Jan2008 03:54:19,64,SE21,SW12,470
02Jan2008 03:57:12,77,KT2,KT2,485
02Jan2008 03:59:33,61,SW19,KT2,460
02Jan2008 04:06:05,54,KT2,W4,430
02Jan2008 04:25:41,7,E14,SE8,490
02Jan2008 04:32:33,63,SW13,W4,520
02Jan2008 04:59:15,211,EC2A,SW1P,505
02Jan2008 05:01:00,346,SE26,CR7,450
02Jan2008 05:04:54,27,SW11,SW1V,415
02Jan2008 05:07:28,338,W1U,SW1P,470
02Jan2008 05:08:10,22,NW1,NW5,405
02Jan2008 05:18:27,310,N5,N17,505
02Jan2008 05:21:44,207,WC2E,SW1P,540
02Jan2008 05:23:13,209,SW12,SW1V,465
02Jan2008 05:31:00,70,CR0,SW18,455
02Jan2008 05:45:44,297,NW1,SW1P,450
02Jan2008 05:47:03,3,WC2H,SE1,410
02Jan2008 06:01:40,310,WC1N,SW1V,505
02Jan2008 06:04:10,348,SE10,SE8,490
02Jan2008 06:20:26,302,SE16,SE1,460
02Jan2008 06:20:54,69,TW10,SW18,505
02Jan2008 06:23:14,72,N1,SW1P,515
02Jan2008 06:36:52,80,N22,N17,495
02Jan2008 06:41:49,349,KT6,SW18,560
02Jan2008 06:46:08,69,SE1,SW1P,505
02Jan2008 06:52:08,32,SE25,CR7,445
02Jan2008 07:00:06,291,EC1V,SE1,510
02Jan2008 07:05:47,364,WC2R,SW1P,515
02Jan2008 07:06:22,302,SE1,E2,460
02Jan2008 07:11:44,350,WC1E,SW1V,510
02Jan2008 07:34:59,4,WC1R,NW5,360
02Jan2008 07:37:00,154,SE24,SW1V,320
02Jan2008 07:41:19,297,E3,E2,450
02Jan2008 07:42:13,317,WC2N,SW1P,535
02Jan2008 07:42:25,78,TW1,W4,435
02Jan2008 07:45:07,158,SE1,E2,380
02Jan2008 07:48:07,168,EC2M,E2,485
02Jan2008 07:58:57,308,KT1,KT2,485
02Jan2008 07:59:46,13,E1W,SE8,410
02Jan2008 08:03:34,302,WC2H,SW1V,460
02Jan2008 08:06:39,66,N1,E2,395
02Jan2008 08:07:43,195,E1,SW1P,480
02Jan2008 08:07:48,301,N16,NW5,510
02Jan2008 08:11:13,222,N5,E2,455
02Jan2008 08:15:31,337,W1T,NW5,520
02Jan2008 08:18:12,198,W4,W4,450
02Jan2008 08:21:16,160,E1,E2,440
02Jan2008 08:21:30,316,E9,SE1,465
02Jan2008 08:34:22,156,NW5,NW5,360
02Jan2008 08:45:02,312,SE22,SW12,565
02Jan2008 08:50:03,296,EC1V,SE1,540
02Jan2008 08:58:20,208,E14,E2,490
02Jan2008 09:02:42,30,E1,E2,385
02Jan2008 09:04:18,24,NW1,SW1V,465
02Jan2008 09:07:42,317,W1T,NW5,535
02Jan2008 09:09:30,71,N1,E2,565
02Jan2008 09:09:35,176,N16,N17,465
02Jan2008 09:20:12,317,W1D,SW1V,535
02Jan2008 09:35:16,149,SE25,CR7,450
02Jan2008 09:38:01,353,E13,E7,545
02Jan2008 09:47:47,146,EC2A,SE1,340
02Jan2008 09:58:08,366,NW1,NW5,535
02Jan2008 09:58:27,366,NW1,NW5,535
02Jan2008 10:02:12,19,NW3,W10,435
02Jan2008 10:03:16,318,E14,E2,485
02Jan2008 10:07:18,14,W1D,NW5,360
02Jan2008 10:11:05,348,W1F,NW5,490
02Jan2008 10:11:46,55,W1T,SW1P,540
02Jan2008 10:30:49,168,SE1,SW1V,485
02Jan2008 10:34:56,317,EC4A,SE1,535
02Jan2008 10:37:25,211,EC3M,E2,505
02Jan2008 10:38:00,207,WC2E,SW1P,540
02Jan2008 10:40:08,308,SW4,SW12,485
02Jan2008 10:45:16,291,SE26,CR7,510
02Jan2008 10:45:17,357,WC2E,SW1V,605
02Jan2008 10:49:59,293,W1K,SW1V,530
02Jan2008 10:50:20,292,E2,SE1,460
02Jan2008 10:52:12,301,KT1,W4,510
02Jan2008 11:08:33,8,N1,E2,440
02Jan2008 11:22:40,79,SE25,CR7,545
02Jan2008 11:28:36,346,SW1A,SW1V,450
02Jan2008 11:33:07,213,W1G,SW1V,525
02Jan2008 11:36:08,79,WC1H,SW1V,545
02Jan2008 11:36:53,207,N7,NW5,540
02Jan2008 11:51:23,19,N4,NW5,435
02Jan2008 11:53:50,167,SW1W,SW18,535
02Jan2008 12:01:05,152,EC2A,SE1,460
02Jan2008 12:01:07,153,WC2R,SW1P,370
02Jan2008 12:14:42,15,EC3A,E2,470
02Jan2008 12:15:10,207,W1S,NW5,540
02Jan2008 12:15:55,350,E1,SW1P,510
02Jan2008 12:32:21,200,SW1W,SW1V,510
02Jan2008 12:33:36,293,N1,NW5,530
02Jan2008 12:35:47,216,WC2H,SW1V,535
02Jan2008 12:44:07,64,WC2H,SW1V,470
02Jan2008 12:44:31,61,WC1B,SW1P,460
02Jan2008 12:56:42,207,SE1,SW1P,540
02Jan2008 13:05:00,61,EC2M,E2,460
02Jan2008 13:09:41,293,SE20,CR7,530
02Jan2008 13:12:01,163,N2,N3,455
02Jan2008 13:23:43,365,SW4,SW18,585
02Jan2008 13:24:24,300,W4,W4,440
02Jan2008 13:28:21,347,SE16,SE1,540
02Jan2008 13:29:26,165,W1W,SW1V,475
02Jan2008 13:32:34,312,W12,SW18,565
02Jan2008 13:33:39,168,W1F,SW1P,485
02Jan2008 13:43:58,354,SE17,SW1V,495
02Jan2008 13:50:12,356,W1B,NW5,535
02Jan2008 13:53:38,362,WC1X,SE1,475
02Jan2008 13:57:50,365,E15,SE8,585
02Jan2008 14:22:49,209,E12,E2,465
02Jan2008 14:26:08,193,E2,E2,440
02Jan2008 14:28:52,56,SW2,SW18,490
02Jan2008 14:30:11,7,NW5,NW5,490
02Jan2008 14:54:56,317,N19,N17,535
02Jan2008 15:02:37,55,SE27,SW12,540
02Jan2008 15:03:15,174,E1,E2,405
02Jan2008 15:03:21,11,W1G,NW5,390
02Jan2008 15:08:42,56,WC2N,SE1,490
02Jan2008 15:13:08,361,W1K,SW1P,525
02Jan2008 15:14:01,355,SE10,E2,585
02Jan2008 15:18:18,302,WC1B,NW5,460
02Jan2008 15:27:03,296,SE1,SE1,540
02Jan2008 15:27:16,317,W1F,SW1V,535
02Jan2008 15:31:17,19,EC1N,SE1,435
02Jan2008 15:32:34,219,WC1N,SW1P,485
02Jan2008 15:42:12,215,NW1,SW1V,585
02Jan2008 15:42:38,15,WC2H,SE1,470
02Jan2008 15:50:49,301,E1,E2,510
02Jan2008 16:04:55,316,EC4V,SW1P,465
02Jan2008 16:08:23,195,EC1N,SE1,480
02Jan2008 16:14:13,164,NW8,NW5,405
02Jan2008 16:21:33,297,SE11,SE1,450
02Jan2008 16:22:09,70,W1D,NW5,455
02Jan2008 16:37:16,197,N1,SW1P,500
02Jan2008 16:39:52,215,SE8,SE1,585
02Jan2008 16:49:50,32,SW4,SW1V,445
02Jan2008 16:54:55,304,EC1M,SW1P,520
02Jan2008 17:01:07,344,EC4V,E2,590
02Jan2008 17:04:13,307,SE8,E2,535
02Jan2008 17:04:47,63,E1W,SE1,520
02Jan2008 17:14:22,320,SE1,SW1P,545
02Jan2008 17:17:58,293,HA5,N3,530
02Jan2008 17:19:20,60,SE19,CR7,390
02Jan2008 17:30:07,317,EC4R,E2,535
02Jan2008 17:33:13,80,W1H,W10,495
02Jan2008 17:34:50,165,W4,W4,475
02Jan2008 17:44:10,361,N19,N3,525
02Jan2008 17:45:23,194,WC2E,SW1P,390
02Jan2008 18:02:50,307,SE1,SW1P,535
02Jan2008 18:52:55,195,SW4,SW1P,480
02Jan2008 18:57:36,304,E2,E2,520
02Jan2008 19:01:16,151,E2,E2,510
02Jan2008 19:09:07,56,WC2H,SW1V,490
02Jan2008 19:09:55,17,WC2B,NW5,395
02Jan2008 19:17:12,203,E1,SE8,460
02Jan2008 19:20:59,207,SW3,SW1V,540
02Jan2008 19:28:27,292,WC1H,NW5,460
02Jan2008 19:31:10,337,EC2M,E2,520
02Jan2008 19:37:21,345,SE27,SW1V,500
02Jan2008 19:37:25,318,SE1,SW1P,485
02Jan2008 19:39:25,168,WC2R,SW1V,485
02Jan2008 19:49:59,78,WC1R,SW1P,435
02Jan2008 20:01:31,200,SW1V,SW1V,510
02Jan2008 20:22:18,221,W1F,NW5,505
02Jan2008 20:24:51,27,EC4M,SW1P,415
02Jan2008 20:30:54,4,WC1N,SW1V,360
02Jan2008 20:45:41,291,NW1,SW1V,510
02Jan2008 20:46:43,31,E2,SE1,495
02Jan2008 20:50:54,173,N1,SW1P,455
02Jan2008 20:56:26,338,EC1A,SW1P,470
02Jan2008 20:57:50,349,SE11,SW1V,560
02Jan2008 21:00:36,363,SE21,CR7,565
02Jan2008 21:00:46,342,E1,E2,530
02Jan2008 21:07:41,316,W1F,SW1P,465
02Jan2008 21:07:49,55,W1G,NW5,540
02Jan2008 21:33:16,293,SE19,SW12,530
02Jan2008 21:34:59,310,WC1N,NW5,505
02Jan2008 21:35:46,1,SW15,SW18,370
02Jan2008 21:40:22,351,NW10,W4,620
02Jan2008 21:56:51,71,WC2R,SW1V,565
02Jan2008 21:57:50,15,N1,NW5,470
02Jan2008 22:00:12,359,W1B,NW5,665
02Jan2008 22:09:10,308,SE14,E2,485
02Jan2008 22:18:56,291,SE1,SE1,510
02Jan2008 22:27:48,310,SW9,SW12,505
02Jan2008 22:30:51,364,N5,N17,515
02Jan2008 22:35:12,289,KT2,SW18,470
02Jan2008 22:37:03,152,NW1,W10,460
02Jan2008 22:37:14,21,SE1,SW1V,455
02Jan2008 22:38:49,315,W1M,NW5,515
02Jan2008 22:40:19,366,SE26,SW12,535
02Jan2008 22:42:27,21,E14,E2,455
02Jan2008 22:43:24,303,N7,E2,570
02Jan2008 22:44:23,213,NW1,SW1P,525
02Jan2008 22:45:40,166,W1T,NW5,425
02Jan2008 22:51:27,319,SW3,SW1P,595
02Jan2008 22:52:36,289,EC4Y,SW1V,470
02Jan2008 22:54:58,152,W1S,SW1P,460
02Jan2008 22:55:43,338,CR0,SW18,470
02Jan2008 22:58:29,24,W11,W10,465
02Jan2008 23:09:46,214,SW7,SW1P,475
02Jan2008 23:17:53,173,W1W,SW1V,455
02Jan2008 23:17:58,311,WC1X,SW1P,615
02Jan2008 23:18:30,342,W1W,NW5,530
02Jan2008 23:19:33,55,EC4R,E2,540
02Jan2008 23:20:48,77,SE17,SW1P,485
02Jan2008 23:22:20,316,SW1H,SW1V,465
02Jan2008 23:27:36,173,W1F,SW1V,455
02Jan2008 23:28:08,364,SE5,SW1P,515
02Jan2008 23:30:13,357,KT1,W4,605
02Jan2008 23:31:54,54,SE26,CR7,430
02Jan2008 23:35:40,54,E16,E7,430
02Jan2008 23:35:59,310,TW10,W4,505
02Jan2008 23:40:59,317,EC1A,SW1P,535
02Jan2008 23:44:57,56,SE1,SW1V,490
02Jan2008 23:53:03,29,N13,NW5,435
02Jan2008 23:57:27,72,E2,E2,515
02Jan2008 23:57:58,363,SE1,SE1,565
03Jan2008 00:00:34,64,N1,NW5,470
03Jan2008 00:01:14,214,NW3,NW5,475
03Jan2008 00:07:21,315,EC4V,SE1,515
03Jan2008 00:09:13,24,SE10,E2,465
03Jan2008 00:18:40,290,SW19,SW18,420
03Jan2008 00:23:05,203,SW9,SW12,460
03Jan2008 00:25:01,56,W1H,SW1P,490
03Jan2008 00:25:44,7,EC1N,NW5,490
03Jan2008 00:26:53,316,W1W,NW5,465
03Jan2008 00:37:42,164,W1T,SW1V,405
03Jan2008 00:41:54,207,SW1H,SW1V,540
03Jan2008 00:52:19,291,EC3N,SE1,510
03Jan2008 00:55:07,309,SW1Y,SE1,555
03Jan2008 00:55:44,337,KT1,SW18,520
03Jan2008 01:07:50,357,WC1N,SW1V,605
03Jan2008 01:16:27,71,EC1R,SE1,565
03Jan2008 01:17:30,149,E6,SE8,450
03Jan2008 01:20:10,53,E3,SE1,480
03Jan2008 01:25:43,24,EC1R,SW1P,465
03Jan2008 01:26:36,211,W2,SW1P,505
03Jan2008 01:28:08,356,EC1N,SW1V,535
03Jan2008 01:29:23,214,SE11,SW1P,475
03Jan2008 01:44:47,149,N1,SW1P,450
03Jan2008 02:15:33,350,EC1V,SW1P,510
03Jan2008 02:23:30,51,WC1N,SW1P,460
03Jan2008 02:24:53,317,WC2E,SW1V,535
03Jan2008 02:28:42,291,W1W,SW1V,510
03Jan2008 02:36:23,295,SE20,CR7,590
03Jan2008 02:36:26,318,W1D,SW1P,485
03Jan2008 02:40:14,367,E15,E7,645
03Jan2008 02:43:01,203,W1V,NW5,460
03Jan2008 02:52:36,302,KT6,W4,460
03Jan2008 02:58:32,303,W1G,NW5,570
03Jan2008 03:05:36,196,SE26,SE8,430
03Jan2008 03:08:25,361,W1F,SW1P,525
03Jan2008 03:13:39,221,SW11,SW18,505
03Jan2008 03:14:34,159,EC1M,E2,490
03Jan2008 03:15:59,195,SE1,E2,480
03Jan2008 03:26:40,53,E1W,SE1,480
03Jan2008 03:29:33,291,N7,SW1P,510
03Jan2008 03:29:41,303,EC1N,NW5,570
03Jan2008 03:36:42,365,NW1,SW1P,585
03Jan2008 03:37:09,338,E15,E7,470
03Jan2008 03:40:05,209,SW8,SW1V,465
03Jan2008 03:48:55,214,SE13,SE8,475
03Jan2008 03:51:17,176,E6,E7,465
03Jan2008 04:01:23,23,W1T,NW5,515
03Jan2008 04:10:14,347,SE1,SE1,540
03Jan2008 04:10:29,338,W1S,SW1V,470
03Jan2008 04:11:22,200,SE5,SE1,510
03Jan2008 04:15:45,365,SE19,CR7,585
03Jan2008 04:18:58,338,SE1,SE1,470
03Jan2008 04:29:14,171,SE3,E2,435
03Jan2008 04:31:22,299,WC1X,SW1P,490
03Jan2008 04:32:19,362,SW1H,SW1P,475
03Jan2008 04:33:22,317,W1T,NW5,535
03Jan2008 04:54:15,60,WC1N,NW5,390
03Jan2008 04:54:59,72,EC1N,NW5,515
